time,source_user,destination_user,source_computer,dest_computer,auth_type,logon_type,auth_orientation,success_failure,label
18.221701846387273,U17,U12,C15,C7,NTLM,Interactive,LogOn,Success,Normal
19.879621644968637,U9,U17,C1,C5,Kerberos,Interactive,LogOff,Success,Normal
25.027669912286534,U1,U10,C7,C5,NTLM,Unlock,LogOff,Success,Normal
33.10938581986673,U13,U14,C12,C2,Kerberos,Network,LogOn,Success,Normal
39.0155453290741,U16,U17,C17,C6,Kerberos,Unlock,LogOn,Success,Normal
40.87312116270865,U13,U18,C5,C15,Kerberos,Unlock,LogOff,Success,Normal
43.756108883338825,U14,U19,C4,C10,NTLM,Interactive,LogOn,Success,Normal
51.816559067121126,U3,U17,C12,C7,NTLM,Network,LogOn,Success,Normal
55.64381950392274,U6,U14,C18,C5,NTLM,Interactive,LogOff,Success,Normal
59.716184140282145,U18,U9,C17,C1,NTLM,Network,LogOff,Success,Normal
65.59857234557902,U19,U8,C19,C13,NTLM,Unlock,LogOn,Success,Normal
74.1041794648888,U5,U2,C9,C18,NTLM,Network,LogOn,Success,Normal
83.77896864897312,U15,U13,C4,C13,NTLM,Interactive,LogOn,Success,Normal
87.53747915323382,U2,U7,C2,C18,Kerberos,Interactive,LogOff,Success,Normal
91.26267629564704,U_A,U9,C4,C5,NTLM,Interactive,LogOn,Success,Lateral Movement
91.50885627874268,U18,U11,C2,C13,Kerberos,Network,LogOn,Success,Normal
95.44071794983853,U13,U14,C15,C4,NTLM,Unlock,LogOff,Success,Normal
109.80089978057794,U5,U4,C2,C17,Kerberos,Unlock,LogOff,Success,Normal
113.14506847224331,U1,U13,C4,C3,NTLM,Network,LogOn,Success,Normal
123.79867601478622,U1,U2,C6,C17,?,Interactive,LogOff,Success,Normal
129.3921856682715,U18,U5,C7,C11,NTLM,Unlock,LogOff,Success,Normal
132.79301047631807,U15,U11,C10,C4,Kerberos,Interactive,LogOn,Success,Normal
134.4534794971719,U_A,U6,C19,C2,NTLM,Network,LogOff,Success,Lateral Movement
